"","Education","Marital_Status","Income","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Complain","Age","Kids","Tenure","AcceptedCamp","TotalSpent","km3.cluster"
"45",2,1,7500,3,1,10,3,2,12,3,2,0,3,5,0,47,1,111,0,31,1
"46",2,0,79941,123,164,266,227,30,174,1,2,4,9,1,0,46,0,102,0,984,2
"47",2,1,7500,3,18,14,15,22,50,3,3,1,3,9,0,26,0,122,0,122,1
"48",2,1,41728,13,6,15,3,5,13,1,2,0,2,10,0,54,1,115,0,55,1
"49",2,0,46571.3041310369,48,5,48,6,10,7,3,2,1,4,6,0,71,3,108,0,124,1
"50",3,1,72550,826,50,317,50,38,38,9,5,2,12,8,0,68,2,122,0,1319,3
"51",2,0,65486,245,19,125,37,67,14,1,4,2,10,2,0,65,1,103,0,507,2
"52",2,1,79143,650,37,780,27,167,32,1,6,9,13,3,0,58,0,125,0,1693,2
"53",2,0,35790,12,6,20,30,1,3,2,2,0,3,7,0,45,1,120,0,72,1
"54",2,0,82582,510,120,550,156,40,241,1,4,9,7,1,0,45,0,103,2,1617,2
"55",2,1,66373,328,9,124,12,24,109,7,4,2,10,3,0,44,2,115,0,606,3
"56",2,1,82384,984,51,432,180,120,190,1,3,10,13,1,0,67,0,121,1,1957,2
"57",2,0,70287,295,35,482,121,120,40,1,5,5,10,3,0,56,0,117,0,1093,2
"58",2,0,27938,13,0,8,2,1,5,1,1,0,4,3,0,34,1,104,0,29,1
"59",2,0,34108.0598299334,11,3,22,2,2,6,2,2,0,3,6,0,40,1,114,0,46,1
"60",3,1,55954,447,0,28,0,0,43,3,8,2,6,7,0,54,1,106,0,518,3
"61",2,0,75777,712,26,538,69,13,80,1,3,6,11,1,0,40,0,114,2,1438,2
"62",2,1,66653,452,18,102,16,18,6,4,4,2,12,3,0,47,2,124,0,612,3
"63",2,0,61823,523,7,134,37,14,169,4,8,2,10,7,0,70,1,118,0,884,3
"64",3,0,67680,546,0,48,0,6,6,1,7,3,8,5,0,71,1,115,0,606,3
"65",2,1,70666,398,40,367,119,122,30,1,7,4,4,4,0,74,0,109,0,1076,2
"66",2,1,25721,1,3,6,3,6,15,1,1,1,2,7,0,51,1,115,0,34,1
"67",2,1,32474,10,0,1,0,0,0,1,1,0,2,7,0,55,2,104,0,11,1
"68",2,0,88194,688,14,309,201,24,38,1,11,10,10,5,0,43,1,105,2,1274,2
"69",2,1,69096,247,49,159,7,82,109,1,5,2,10,4,0,64,1,111,0,653,3
"70",2,1,74854,856,59,487,58,29,73,7,2,5,5,5,0,52,3,117,0,1562,3
"71",2,1,66991,496,36,460,189,60,12,3,4,8,6,3,0,68,0,124,0,1253,2
"72",2,1,29853.2611135138,25,3,43,17,4,17,3,3,0,3,8,0,49,1,124,0,109,1
"73",2,1,65031,258,107,291,84,37,86,4,10,3,13,7,0,63,1,118,0,863,3
"74",3,1,60631,565,6,65,0,6,19,5,9,2,8,7,0,47,2,117,1,661,3
"75",2,1,28332,14,10,13,4,15,9,1,2,1,4,2,0,70,0,104,0,65,1
"76",2,0,40246,2,1,6,2,1,1,1,1,0,2,6,0,45,1,120,0,13,1
"77",2,1,75251,721,111,925,97,18,18,1,7,6,5,5,0,50,0,124,0,1890,2
"78",2,0,75825,1032,105,779,137,105,51,0,5,8,9,4,0,46,0,123,1,2209,2
"79",2,1,26326,1,0,5,0,3,9,1,0,0,3,3,1,46,0,112,0,18,1
"80",2,1,56046,577,0,64,0,0,51,2,10,1,8,8,0,57,0,120,1,692,3
"81",2,0,29760,64,4,68,7,5,17,4,3,1,4,8,0,37,1,124,0,165,1
"82",2,1,26304,4,1,5,2,0,4,1,1,0,2,7,0,53,1,114,0,16,1
"83",2,1,23559,25,5,19,7,0,23,3,3,0,3,7,0,49,1,114,0,79,1
"84",2,1,38620,112,17,44,34,22,89,1,2,5,3,3,0,59,0,116,0,318,1
"85",2,0,81361,163,23,424,27,65,76,1,3,10,13,1,0,35,0,106,0,778,2
"86",2,1,29440,17,8,14,10,4,3,2,1,0,4,7,0,62,2,113,0,56,1
"87",2,1,36138,130,0,16,0,0,5,5,3,1,4,7,0,52,2,113,1,151,1
"88",2,0,50388,292,6,37,0,3,34,4,6,1,6,7,0,65,1,103,2,372,3
"89",2,1,79593,350,60,568,110,133,145,1,5,6,7,2,0,49,0,103,1,1366,2
"90",2,1,54178,135,9,39,4,0,7,1,2,2,5,2,0,55,1,107,0,194,1
"91",3,1,51806.4574417047,230,42,192,49,37,53,12,7,2,8,9,0,65,3,121,0,603,3
"92",2,0,35344.0720832319,7,0,8,2,0,1,1,1,0,2,7,0,65,2,103,0,18,1
"93",2,1,67735.754889414,445,37,359,98,28,18,1,2,4,8,1,0,49,0,109,0,985,2
"94",2,0,42394,15,2,10,0,1,4,1,1,0,3,7,0,50,1,105,0,32,1
"95",3,1,23626,27,2,14,0,0,0,3,3,1,3,5,0,52,1,103,0,43,1
"96",2,1,30096,5,3,11,12,5,9,1,2,0,3,6,0,39,1,103,0,45,1
"97",2,0,47916,505,0,26,0,0,75,5,7,4,6,6,0,62,1,121,1,606,3
"98",2,0,51813,51,2,7,0,1,2,2,2,0,3,7,0,50,2,117,0,63,1
"99",2,1,78497,207,26,447,75,0,223,1,5,7,12,2,0,71,0,109,1,978,2
"100",3,1,50150,135,46,92,65,61,11,2,5,2,7,5,0,39,0,114,0,410,3
"101",2,0,47823,53,1,5,2,1,10,2,2,0,3,8,0,62,1,113,0,72,1
"102",3,0,34554,41,1,6,2,0,5,2,2,0,3,6,0,63,1,105,0,55,1
"103",2,1,85693,386,172,183,185,132,111,2,9,5,11,5,0,43,1,116,0,1169,2
"104",3,1,65846,562,81,276,80,40,81,1,6,3,6,4,0,77,0,115,0,1120,2
"105",2,1,87195,217,76,690,50,26,38,1,3,11,5,1,0,63,0,104,0,1097,2
"106",1,1,24594,1,3,6,10,0,9,1,1,0,3,5,0,43,1,109,0,29,1
"107",2,1,49096,144,1,32,2,1,7,4,4,1,4,7,0,58,2,111,0,187,1
"108",2,1,52413,295,106,271,75,98,65,4,6,4,12,6,0,53,2,119,0,910,3
"109",2,0,38557,76,3,31,4,4,27,2,3,1,3,7,0,44,1,120,0,145,1
"110",2,1,89058,454,194,106,31,22,43,1,5,4,4,2,0,62,0,121,0,850,2
"111",2,1,77298,425,115,292,23,35,79,1,6,6,11,3,0,43,1,110,0,969,2
"112",3,0,68126,1332,17,311,23,51,86,1,7,4,5,9,0,31,0,122,1,1820,3
"113",2,1,57288,527,0,21,0,0,60,3,8,1,8,6,0,59,1,102,1,608,3
"114",2,0,86037,490,44,125,29,20,22,1,6,7,11,3,0,31,0,120,2,730,2
"115",3,1,43974,378,0,101,0,0,72,5,6,4,6,7,0,42,1,121,0,551,3
"116",2,0,50785,64,1,21,0,1,27,2,2,1,3,6,0,60,2,112,0,114,1
"117",2,1,90765,547,99,812,151,82,33,0,4,6,5,1,0,52,0,107,2,1724,2
"118",2,1,36550,47,90,94,123,103,120,5,9,1,5,9,0,44,1,118,0,577,3
"119",2,1,30753,12,5,25,0,9,30,2,1,1,3,5,0,55,2,114,0,81,1
"120",2,1,21918,1,6,7,11,5,3,2,2,0,3,6,0,53,1,109,0,33,1
"121",2,1,56129,320,48,133,39,72,48,4,6,2,10,4,0,69,1,114,0,660,3
"122",2,0,32557,34,3,29,0,4,10,3,2,1,3,5,0,55,1,106,0,80,1
"123",2,1,19510,9,0,7,3,4,7,2,1,0,3,7,0,37,2,112,0,30,1
"124",2,0,30992,17,0,14,7,3,2,1,1,0,3,7,0,46,1,116,0,43,1
"125",2,0,101970,722,27,102,44,72,168,0,6,8,13,2,0,39,0,118,3,1135,2
"126",2,1,71488,162,33,124,40,28,172,2,3,4,7,1,0,57,0,118,0,559,2
"127",2,0,79607,450,133,951,173,0,216,1,3,6,6,1,0,38,0,116,0,1923,2
"128",2,1,54348,70,0,16,0,0,4,2,2,0,4,6,0,69,2,103,0,90,1
"129",3,1,50714.4068284307,352,0,27,10,0,15,3,6,1,7,6,0,61,1,114,0,404,3
"130",3,1,77376,492,19,110,16,12,12,4,6,3,10,4,0,66,2,104,0,661,3
"131",2,1,62998,120,58,73,65,89,58,5,5,4,5,5,0,70,1,111,0,463,3
"132",2,0,61331,534,5,47,0,5,41,5,11,1,6,8,0,64,2,118,0,632,3
"133",2,1,73448,236,106,189,23,41,130,1,7,2,9,4,0,53,0,106,0,725,2
"134",2,1,62456.8011217518,231,65,196,38,71,124,1,6,5,7,4,0,59,1,113,0,725,2
"135",3,1,41551,220,0,33,3,0,23,5,5,1,5,8,0,58,2,112,0,279,3
"136",3,1,62981,796,14,590,38,44,0,1,4,5,13,3,0,55,0,118,1,1482,2
"137",1,0,9548,0,1,3,10,6,9,2,1,0,3,8,0,46,1,125,0,29,1
"138",3,1,33762,53,1,34,2,0,16,3,2,2,2,8,0,63,3,114,0,106,1
"139",3,0,35860,15,0,8,4,2,20,2,1,1,2,5,0,49,2,103,1,49,1
"140",3,0,36921,17,1,12,3,1,4,2,2,0,3,7,0,57,2,113,0,38,1
"141",2,0,92859,962,61,921,52,61,20,1,5,4,12,2,0,30,0,122,0,2077,2
"142",2,1,65104,738,0,232,13,20,50,2,3,5,7,7,0,46,1,109,0,1053,3
"143",2,1,86111,399,28,756,36,40,126,1,5,7,10,2,0,60,0,116,0,1385,2
"144",3,0,68352,614,16,132,43,33,33,3,8,5,9,6,0,48,1,112,0,871,3
"145",2,1,41883,32,34,41,73,16,116,3,4,2,3,7,0,34,1,117,0,312,1
"146",2,1,59809,598,16,141,32,41,49,3,3,3,6,8,0,46,2,122,0,877,3
"147",2,1,23957,2,1,18,20,11,16,1,2,0,3,6,0,47,1,122,0,68,1
"148",2,1,38547,6,1,10,0,1,4,1,1,0,2,8,1,41,1,112,0,22,1
"149",2,1,35688,73,3,90,12,1,32,7,4,1,4,8,0,49,3,124,0,211,3
"150",2,1,49605,42,16,29,12,20,8,1,2,1,4,3,0,56,0,102,0,127,1
"151",2,1,59354,295,21,78,39,13,13,1,4,4,7,3,0,69,2,104,0,459,3
"152",2,1,65747,346,17,48,23,13,13,4,8,1,6,6,0,53,1,106,1,460,3
"153",2,1,46344,233,20,57,8,20,91,4,7,1,5,7,0,50,1,121,0,429,3
"154",2,0,34176,5,7,24,19,14,20,4,3,0,4,6,0,34,1,103,0,89,1
"155",3,1,61010,888,0,57,0,0,76,2,8,5,11,5,0,70,1,123,0,1021,3
"156",2,1,69372,997,26,269,34,13,42,1,10,4,6,4,0,73,0,118,2,1381,2
"157",2,0,49967,212,6,69,4,12,3,3,6,1,5,7,0,64,1,114,0,306,1
"158",2,0,60199,8,1,7,2,0,0,1,0,0,3,4,0,44,3,112,0,18,1
"159",2,1,55375,42,11,57,10,28,14,1,1,1,6,2,0,45,1,110,0,162,1
"160",2,0,80317,536,11,387,149,91,57,1,3,4,10,1,0,67,0,112,0,1231,2
"161",2,0,30523,5,0,3,0,0,5,1,1,0,2,7,0,64,3,114,0,13,1
"162",3,1,70356,1349,16,249,43,16,33,2,10,6,9,6,0,77,0,122,0,1706,3
"163",2,1,23228,53,3,49,7,4,5,4,3,0,4,8,0,38,1,108,0,121,1
"164",3,0,74165,1001,12,240,16,12,12,1,5,4,10,2,0,47,0,116,0,1293,2
"165",3,1,157243,20,2,1582,1,2,1,15,0,22,0,0,0,49,1,106,0,1608,2
"166",2,1,43482,18,1,32,6,3,28,3,2,0,4,6,0,56,3,109,0,88,1
"167",2,0,62551,125,16,98,134,21,27,1,6,7,4,3,0,69,0,109,1,421,2
"168",2,0,52332,212,5,33,7,0,2,1,3,2,6,4,0,63,0,112,1,259,1
"169",2,0,66951,277,162,305,173,76,124,1,3,4,7,1,0,34,0,110,0,1117,2
"170",2,1,26091,15,10,19,8,17,20,3,2,1,3,5,0,65,2,106,0,89,1
"171",2,1,33456,7,3,10,8,1,7,2,1,0,3,7,0,57,2,104,0,36,1
"172",2,1,28718,12,4,6,11,8,16,2,2,0,3,8,0,40,1,114,0,57,1
"173",2,1,50447,85,7,24,2,3,27,1,3,1,3,6,0,52,2,104,0,148,1
"174",3,1,53537,81,0,6,0,0,6,2,2,1,3,5,0,63,2,107,0,93,1
"175",2,0,52074,59,0,12,0,0,48,1,2,2,2,4,0,55,1,105,1,119,1
"176",3,1,80427,1149,71,449,69,71,26,1,11,8,8,5,0,47,1,124,0,1835,2
"177",3,1,83837,847,66,119,86,89,111,1,9,10,5,4,0,74,0,121,2,1318,2
"178",3,1,38853,29,0,14,0,0,2,2,2,0,3,7,0,52,2,103,0,45,1
"179",2,1,38285,2,0,5,2,0,1,1,0,0,3,2,0,63,3,102,0,10,1
"180",2,1,78497,207,26,447,75,0,223,1,5,7,12,2,0,71,0,109,1,978,2
"181",3,1,51650,152,3,22,2,5,7,1,4,1,4,5,0,46,1,104,0,191,1
"182",2,1,16248,12,11,10,3,12,9,3,2,1,3,6,0,34,1,104,0,57,1
"183",2,1,66835,620,26,195,34,17,141,1,6,4,13,2,0,76,0,111,0,1033,2
"184",2,1,30477,47,1,6,0,0,12,1,1,1,3,6,0,38,1,107,0,66,1
"185",1,1,28249,1,9,7,2,14,10,1,2,0,3,6,0,61,0,102,0,43,1
"186",2,1,25271,10,1,18,10,4,7,1,1,1,2,9,0,39,1,121,0,50,1
"187",3,0,32303,35,0,2,0,0,2,2,1,0,4,5,0,52,1,106,0,39,1
"188",2,1,61286,356,0,107,19,9,117,2,7,1,8,5,0,56,1,113,0,608,3
"189",2,1,74068,783,30,537,140,76,15,1,4,10,9,2,0,46,0,117,0,1581,2
"190",3,1,45759,42,1,18,3,0,4,2,2,0,3,7,0,58,2,118,0,68,1
"191",1,1,24882,1,4,10,29,0,36,1,1,1,2,6,0,44,1,124,1,80,1
"192",3,1,66973,466,22,432,147,113,102,1,8,7,12,3,0,33,0,115,0,1282,2
"194",2,1,38872,23,3,21,3,19,22,2,3,0,3,8,0,34,1,115,0,91,1
"195",2,1,51148,235,6,45,8,9,12,4,5,1,6,6,0,49,2,118,0,315,3
"196",2,1,31353,10,0,10,3,1,7,2,1,1,2,8,0,45,2,108,0,31,1
"197",2,1,69661,656,16,106,32,16,8,1,7,3,12,3,0,42,0,103,0,834,2
"198",2,1,80067,519,17,813,27,173,51,1,4,6,6,2,0,68,0,111,1,1600,2
"199",2,1,86718,344,189,482,50,33,172,1,5,6,5,2,0,68,0,119,0,1270,2
"200",3,0,46854,96,1,79,7,1,79,6,5,1,3,8,0,49,2,105,1,263,3
"201",2,0,69142,448,4,34,6,4,39,3,8,1,7,5,0,70,1,102,1,535,3
"202",2,0,75922,265,138,553,224,23,92,1,4,4,9,1,0,54,0,109,0,1295,2
"203",2,0,63693,587,43,337,42,87,54,3,11,6,9,6,0,44,1,110,0,1150,2
"204",3,1,102160,763,29,138,76,176,58,0,7,9,10,4,0,45,0,122,3,1240,2
"205",3,0,40637,22,0,13,0,0,3,2,1,0,3,7,0,57,2,113,0,38,1
"206",2,0,18890,6,4,1,7,2,15,1,0,1,2,6,0,38,0,122,1,35,1
"207",2,1,29604,7,6,13,7,6,14,1,1,0,3,9,0,34,1,109,1,53,1
"208",2,0,48721,81,18,113,47,13,21,6,4,2,5,6,0,59,2,116,0,293,3
"209",2,1,44794,54,0,7,0,0,4,1,2,0,3,6,0,56,1,103,0,65,1
"210",2,0,64497,1170,48,320,42,32,192,5,11,4,9,8,0,68,1,124,1,1804,3
"211",2,1,46097,72,24,68,65,4,8,5,3,1,6,4,0,66,1,117,0,241,3
"212",2,1,77972,613,22,319,33,102,12,1,4,6,9,1,0,68,0,105,0,1101,2
"213",3,1,44377,224,0,30,0,0,10,8,5,1,5,8,0,54,2,123,0,264,3
"214",2,1,46014,410,0,59,19,9,44,10,7,1,8,7,0,48,2,119,0,541,3
"215",2,1,70951,239,10,554,254,87,54,1,3,4,9,1,0,37,0,116,0,1198,2
"216",2,1,41443,171,7,171,25,19,89,6,8,1,5,8,0,45,1,105,0,482,3
"217",2,0,52195,12,0,4,0,0,1,1,1,0,2,8,0,44,3,103,0,17,1
"218",2,1,83790,1076,16,417,42,48,16,1,8,10,6,3,0,74,0,109,2,1615,2
"219",2,0,44551,182,4,33,0,0,66,2,4,1,5,7,0,68,1,112,0,285,1
"220",2,1,69508,824,32,162,42,32,43,2,11,4,11,6,0,42,1,122,0,1135,3
"221",2,1,45204,30,11,25,29,1,18,1,1,1,4,3,0,34,1,104,0,114,1
"222",2,1,72460,377,10,540,80,30,10,1,3,5,7,1,0,53,0,109,0,1047,2
"223",3,1,77622,520,7,154,19,0,14,2,6,3,11,3,0,52,2,104,0,714,3
"224",3,1,30732,155,1,25,0,1,3,4,4,1,4,8,0,42,1,120,0,185,1
"225",2,0,63887,897,23,207,15,11,92,5,9,6,12,6,0,60,1,124,0,1245,3
"226",2,1,42011,131,0,16,2,1,39,4,3,1,4,8,0,44,1,117,0,189,1
"227",2,1,51369,297,7,79,0,11,182,2,8,2,4,8,0,46,1,122,0,576,3
"228",2,0,51537,787,20,204,0,0,92,3,2,2,11,8,0,70,1,121,0,1103,3
"229",3,1,79930,792,86,740,67,51,17,1,3,5,8,2,0,50,0,125,0,1753,2
"230",3,1,34320,4,1,9,3,0,0,1,1,0,2,8,0,36,1,106,0,17,1
"231",2,0,37070,231,7,137,4,15,39,9,5,1,8,7,0,56,2,117,0,433,3
"232",2,0,81975,983,76,184,180,138,27,1,6,3,4,7,0,60,1,120,1,1588,2
"233",2,1,38590,3,1,8,4,3,3,1,1,0,2,8,0,51,1,116,0,22,1
"234",2,0,15033,0,4,5,6,0,4,1,1,0,3,3,0,71,0,104,0,19,1
"235",3,1,62745,562,21,464,28,10,32,3,7,8,11,5,0,57,1,117,0,1117,3
"236",2,1,22212,5,9,20,6,8,21,2,2,0,4,6,0,47,1,109,0,69,1
"237",2,1,23661,18,0,4,0,0,1,1,1,0,3,7,0,40,1,109,0,23,1
"238",3,0,79761,415,5,124,15,35,11,1,5,2,11,3,0,64,1,111,0,605,3
"239",2,0,7500,5,3,10,12,7,20,4,3,1,3,7,0,49,1,108,0,57,1
"241",2,0,73455,901,61,757,186,163,20,1,6,5,10,3,0,54,0,110,1,2088,2
"242",2,1,64961,382,114,276,75,124,38,2,6,4,4,3,0,64,1,120,0,1009,2
"243",2,0,22804,14,1,7,2,1,1,1,2,0,2,9,0,51,1,113,0,26,1
"244",2,1,73687,559,153,503,218,13,181,1,3,9,9,2,0,32,0,109,1,1627,2
"245",2,1,61074,789,0,133,0,28,152,7,11,5,8,7,0,64,1,125,0,1102,3
"246",3,1,31686,11,0,5,0,0,1,2,1,0,3,6,0,58,2,103,0,17,1
"247",2,1,80134,1218,16,272,104,0,80,2,5,3,6,6,0,50,1,115,3,1690,2
"248",2,1,75027,925,64,179,133,12,77,2,9,4,6,5,0,69,1,120,0,1390,3
"249",3,1,67546,864,134,768,150,38,172,1,4,10,5,3,0,34,0,124,0,2126,2
"250",2,1,65176,960,28,183,220,70,70,4,9,6,6,6,0,53,1,122,0,1531,2
"251",2,0,31160,16,3,25,6,1,13,2,2,0,3,8,0,47,1,111,0,64,1
"252",2,0,29938,3,3,7,0,2,11,2,1,0,3,6,0,37,1,110,0,26,1
"253",2,0,102692,168,148,444,32,172,148,1,6,9,13,2,0,48,0,117,4,1112,2
"254",2,1,26490,45,47,52,21,20,25,2,3,1,5,6,0,64,0,123,0,210,1
"255",2,1,75702,650,28,353,45,42,30,5,4,6,11,8,0,55,2,124,0,1148,3
"256",3,0,30899,24,0,8,0,0,1,2,1,0,3,6,0,48,1,123,0,33,1
"257",3,1,63342,918,21,118,13,10,21,3,8,3,5,6,0,61,1,123,1,1101,3
"258",2,0,45989,138,33,87,28,24,12,4,3,2,7,3,0,58,1,122,0,322,3
"259",2,0,18701,12,4,2,10,6,10,4,2,0,4,5,0,58,2,115,0,44,1
"260",3,0,40737,11,0,4,0,0,2,1,1,0,2,8,0,65,3,109,0,17,1
"261",2,0,15287,1,2,8,4,3,13,2,1,1,2,7,0,43,1,123,1,31,1
"262",3,0,69674,554,41,215,11,0,24,3,10,2,10,5,0,54,2,115,0,845,3
"263",2,1,44159,167,2,62,24,13,7,4,4,1,6,5,0,52,1,102,0,275,1
"264",3,1,37717,9,0,6,4,1,5,1,1,0,2,9,0,44,1,121,0,25,1
"265",2,1,43776,177,2,71,3,2,20,6,5,2,4,8,0,70,2,119,0,275,3
"266",2,1,38179,38,4,22,4,2,20,4,3,1,3,7,0,56,2,118,0,90,1
"267",2,1,80124,483,84,398,205,84,241,1,3,7,8,1,0,59,0,102,1,1495,2
"268",3,1,38097,77,2,35,0,1,69,4,3,2,2,7,0,52,2,123,1,184,3
"269",2,1,72940,182,74,298,162,149,116,1,3,3,6,1,0,52,0,114,0,981,2
"270",2,1,22070,10,7,19,8,2,21,2,2,2,2,6,0,52,1,111,0,67,1
"271",2,0,69267,778,44,499,95,73,146,2,3,4,5,7,0,69,0,123,0,1635,2
"272",2,0,31788,16,7,23,0,8,6,3,3,0,4,5,1,39,1,105,0,60,1
"273",3,1,61905,167,0,43,6,2,13,2,4,2,4,5,0,47,1,107,0,231,1
"274",2,1,29315,13,2,14,8,7,4,4,2,0,4,6,0,62,2,105,0,48,1
"275",2,0,33378,33,6,40,3,7,10,3,2,0,4,7,0,59,2,119,0,99,1
"276",3,1,66313,625,7,99,10,22,7,2,6,3,12,4,0,59,1,111,0,770,3
"277",2,0,60714,216,162,224,101,92,162,2,7,4,10,5,0,66,0,119,0,957,2
"278",2,1,77882,68,129,396,188,22,15,1,3,3,5,1,0,41,0,104,0,818,2
"279",3,0,69867,196,0,512,33,130,54,1,3,5,8,1,0,36,0,117,1,925,2
"280",2,0,63841,635,15,100,20,7,131,1,9,3,9,6,0,54,1,116,0,908,3
"281",1,1,24480,4,19,9,28,25,17,3,3,0,4,7,0,41,1,119,0,102,1
"282",2,1,51369,297,7,79,0,11,182,2,8,2,4,8,0,46,1,122,0,576,3
"283",2,1,37760,84,5,38,150,12,28,2,4,1,6,7,0,76,0,124,0,317,3
"284",3,1,65640,204,7,149,20,15,66,1,5,1,8,2,0,48,1,106,0,461,3
"285",2,1,44319,26,0,8,0,0,3,2,2,0,3,5,0,47,2,104,0,37,1
"286",2,1,30631,15,6,20,4,5,20,1,3,1,2,7,0,48,1,114,0,70,1
"287",2,1,75278,304,98,230,150,74,74,1,6,3,13,3,0,70,0,119,0,930,2
"288",2,1,50898,285,28,242,55,114,135,13,6,2,12,5,0,66,2,120,0,859,3
"289",2,0,79946,395,183,565,166,141,28,1,5,11,5,3,0,56,0,103,0,1478,2
"290",2,0,35416,248,3,81,4,3,51,3,7,1,5,8,0,73,0,115,0,390,3
"291",2,1,32414,20,6,5,0,9,12,1,1,0,3,7,0,38,0,114,1,52,1
"292",2,1,38361,39,0,56,20,8,14,3,3,1,3,7,0,53,1,108,0,137,1
"293",2,1,82497,777,129,573,216,21,203,1,2,7,9,4,0,42,0,122,1,1919,2
"294",2,1,16626,8,3,22,21,1,13,3,3,0,3,9,0,51,2,107,0,68,1
"295",2,1,29672,9,1,3,0,4,8,1,0,0,3,6,0,57,2,118,0,25,1
"296",2,1,55951,1241,0,80,0,13,40,3,3,6,11,8,0,70,1,124,2,1374,3
